               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094257,            0.036195,            0.024742,              0.3301,             0.28344,             0.19573,            0.052817,            0.049594,            0.023777,            0.016021,             0.00084,             0.00084,             0.09244
                   1,            0.062345,              0.0357,            0.018127,             0.45106,              0.6463,             0.45703,             0.18323,            0.041805,            0.015555,            0.014125,           0.0016734,           0.0016734,            0.084773
                   2,            0.057585,            0.026255,            0.013394,             0.80098,             0.66194,              0.7512,             0.33802,            0.035494,            0.013251,           0.0089315,           0.0024412,           0.0024412,            0.077041
                   3,            0.053872,             0.02328,           0.0093197,             0.84982,             0.64741,             0.78333,             0.37825,            0.033532,            0.012429,           0.0064971,           0.0030987,           0.0030987,            0.069199
                   4,            0.049102,            0.022371,           0.0077542,             0.92324,             0.65291,             0.80892,             0.46903,            0.033981,            0.011315,           0.0054412,           0.0036087,           0.0036087,            0.061209
                   5,            0.046278,             0.02096,            0.006061,             0.72951,              0.8131,             0.77886,             0.42377,             0.03928,            0.010634,           0.0043769,           0.0039448,           0.0039448,            0.053045
                   6,            0.046026,            0.020004,            0.005797,             0.66139,             0.80486,             0.78859,             0.45481,            0.033184,            0.010315,           0.0046579,            0.004093,            0.004093,            0.044693
                   7,            0.044138,            0.020663,           0.0054069,             0.84192,             0.89073,             0.93798,             0.54466,            0.027702,            0.010231,           0.0031869,           0.0040539,           0.0040539,            0.036154
                   8,            0.040173,            0.019705,           0.0044715,              0.8648,             0.85806,             0.92123,             0.56876,            0.030143,           0.0098167,           0.0032884,           0.0038426,           0.0038426,            0.027443
                   9,            0.038589,            0.018554,           0.0043051,             0.89826,             0.90141,             0.94746,             0.59314,            0.028118,            0.010043,           0.0026121,           0.0034889,           0.0034889,            0.018589
                  10,            0.038293,            0.019769,           0.0042085,             0.92567,              0.8712,             0.94276,             0.58866,            0.026911,           0.0098665,           0.0027859,           0.0030355,           0.0030355,           0.0096355
                  11,            0.035229,            0.018635,           0.0042324,              0.9137,             0.89386,             0.94798,             0.60573,              0.0259,           0.0093024,           0.0023962,           0.0024889,           0.0024889,           0.0024889
                  12,            0.034405,            0.018113,           0.0034483,             0.94464,             0.88373,             0.95585,             0.60818,            0.027524,           0.0095775,           0.0021296,           0.0024889,           0.0024889,           0.0024889
                  13,            0.031762,            0.017457,           0.0033335,             0.94102,             0.90285,             0.96467,             0.63235,            0.024583,           0.0093797,           0.0026465,           0.0018594,           0.0018594,           0.0018594
                  14,            0.030087,            0.017373,           0.0029375,             0.93248,             0.91152,             0.95789,             0.64314,            0.023454,           0.0095009,           0.0030879,            0.001389,            0.001389,            0.001389
